Title,Translated Title (DeepL),A.K.A.,Contributor(s),Type,Genre(s),Language(s),Status,Version,Project Page/Source
PX7,N/A,N/A,kt.software,Tool,"Music, Media Player","English, Japanese",N/A,1.0.3,http://www.geocities.jp/sp1_ssr/px7.htm
Petit Smash Bros,N/A,N/A,GimmeMoreCoinz,Game,Action,English,Alpha,1.2 LITE,https://petitcomputer.fandom.com/wiki/Petit_Smash_Bros
