Title,Translated Title (DeepL),A.K.A.,Contributor(s),Language(s),Status,Version,Project Page/Source
CrashPTC,N/A,N/A,IAmAPerson,N/A,Stable,Final,https://petitcomputer.fandom.com/wiki/CrashPTC
petit-compwner,N/A,"No, this isn't Ninjhax!",zoogie,N/A,N/A,1.0,https://github.com/zoogie/petit-compwner
